origen,institucion,producto_base,programa_adicional,valorVivienda,montoCredito,plazoAnios,ingresoMensual,Tasa_Nominal_Pct,comisionAperturaPct,tipoIndexacion,CAT_Pct,PagoMensual,DesembolsoInicial
Banorte,Banorte,Hipoteca Fuerte,Tradicional,687500,550000,15,25000,9.38,1,fija,12.2,6569.42,197017.5
Banorte,Banorte,Hipoteca Fuerte,Apoyo Infonavit,687500,550000,15,25000,9.38,1,fija,12.2,6569.42,197017.5
Banorte,Banorte,Hipoteca Fuerte,Cofinavit,687500,550000,15,25000,9.38,1,fija,12.2,6569.42,197017.5
Banorte,Banorte,Hipoteca Fuerte,Cuenta Infonavit + Banorte,687500,385000,15,25000,9.38,1,fija,12.8,4728.72,197017.5
Banorte,Banorte,Hipoteca Fuerte,FOVISSSTE para todos,687500,550000,15,25000,9.78,0,fija,10.8,6210.22,196267.5
Banorte,Banorte,Hipoteca Fuerte,Ingresos Adicionales FPT,687500,550000,15,25000,9.78,0,fija,11.2,6364.22,193875
Banorte,Banorte,Hipoteca Fuerte Cero,Tradicional,687500,550000,15,25000,11.18,0,fija,9.9,6365.4,193875
Banorte,Banorte,Hipoteca Fuerte Cero,Apoyo Infonavit,687500,550000,15,25000,11.18,0,fija,9.9,6365.4,193875
Banorte,Banorte,Hipoteca Fuerte Cero,Cofinavit,687500,550000,15,25000,11.18,0,fija,9.9,6365.4,193875
Banorte,Banorte,Hipoteca Verde,Tradicional,687500,550000,15,25000,11.08,0,fija,9.9,6330.16,193875
Banorte,Banorte,Hipoteca Verde,Apoyo Infonavit,687500,550000,15,25000,11.08,0,fija,9.9,6330.16,193875
Banorte,Banorte,Hipoteca Verde Banorte,Cofinavit,687500,550000,15,25000,11.08,0,fija,9.9,6330.16,193875
Banorte,Banorte,Hipoteca Fuerte con Bonificación,Tradicional,687500,550000,15,25000,10.68,1,fija,12.2,7019.03,197017.5
Banorte,Banorte,Hipoteca Fuerte con Bonificación,Apoyo Infonavit,687500,550000,15,25000,10.68,1,fija,12.2,7019.03,197017.5
Banorte,Banorte,Hipoteca Fuerte con Bonificación,Cofinavit,687500,550000,15,25000,10.68,1,fija,12.2,7019.03,197017.5
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Crecientes,Tradicional,687500,550000,15,25000,10.55,0,fija,13.5,6263.75,193875
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Crecientes,Apoyo Infonavit,687500,550000,15,25000,10.55,0,fija,12.1,6263.75,193875
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Crecientes,Cofinavit,687500,550000,15,25000,10.55,0,fija,12.1,6263.75,193875
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Fijos,Tradicional,687500,550000,15,25000,11.08,0,fija,12.1,7093.91,193875
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Fijos,Apoyo Infonavit,687500,550000,15,25000,11.08,0,fija,12.1,7093.91,193875
Banorte,Banorte,Hipoteca Fuerte a tu Medida Pagos Fijos,Cofinavit,687500,550000,15,25000,11.08,0,fija,12.1,7093.91,193875
Banorte,Banorte,Hipoteca Fuerte,Tradicional,1250000,1000000,20,23399.51,9.38,0,fija,11.7,11699.76,356875
Banorte,Banorte,Hipoteca Fuerte,Apoyo Infonavit,1250000,1000000,20,23399.51,9.38,0,fija,11.7,11699.76,356875
Banorte,Banorte,Hipoteca Fuerte,Cofinavit,1250000,1000000,20,23399.51,9.38,0,fija,11.7,11699.76,356875
Banorte,Banorte,Hipoteca Fuerte,Cuenta Infonavit + Banorte,1250000,700000,20,16706.06,9.38,0,fija,12.1,8353.03,356875
Banorte,Banorte,Hipoteca Fuerte,Fovissste para Todos,1250000,1000000,20,22582.61,9.78,0,fija,10.8,11291.3,356125
Banorte,Banorte,Hipoteca Fuerte,Ingresos Adicionales FPT,1250000,1000000,20,23142.61,9.78,0,fija,11.2,11571.3,352500
Banorte,Banorte,Hipoteca Fuerte Cero,Tradicional,1250000,1000000,20,23146.91,11.18,0,fija,9.9,11573.45,352500
